doc_id,title,source,date,total_chunks,avg_chunk_length,min_chunk_length,max_chunk_length
68b22293540aab,New Jersey Man Pleads Guilty in Threatening Red Mass Attendees at St. Matthews Cathedral,FBI - National,2026-03-05,1,162.0,162,162
698004fc013f61,"Repeat Sex Offender Sentenced to 10 Years in Prison for Receipt, Distribution, and Possession of Child Sexual Abuse Materials",FBI - National,2026-03-06,1,170.0,170,170
6b204f8cc49203,Ten Most Wanted Fugitive Samuel Ramirez Jr. Apprehended in Mexico,FBI - National,2026-03-12,1,259.0,259,259
6b6771ba5363de,Par Funding Pleads Guilty to Defrauding Investors,FBI - National,2026-03-09,1,344.0,344,344
6b7f2ab077d919,Leader of Chicago Street Gang Sentenced to Life in Prison for Participating in Racketeering Conspiracy Involving Multiple Murders,FBI - National,2026-04-21,1,191.0,191,191
6ba30fe0207d28,British National Pleads Guilty to Hacking Into Companies and Stealing at Least $8 Million in Virtual Currency,FBI - National,2026-04-17,1,160.0,160,160
6f0e33a6ec6def,Justice Department Announces Compensation Process for OneCoin Fraud Victims with Funds Recovered Through Asset Forfeiture,FBI - National,2026-04-13,1,158.0,158,158
708fe500e2d024,Three Sentenced in Methamphetamine Trafficking Conspiracy,FBI - National,2026-03-12,1,201.0,201,201
70de91b755b4c8,Two Illegal Aliens From Mexico Sentenced to Decades in Federal Prison for Drug Trafficking in West Tennessee,FBI - National,2026-04-10,1,180.0,180,180
722efd5da738eb,Houston Man Gets 20 Years for Sex Trafficking Minor,FBI - National,2026-03-02,1,154.0,154,154
7331a79ec1a0f4,Kentucky Man Sentenced to Prison for Fentanyl Crime,FBI - National,2026-03-03,1,161.0,161,161
76ba58d45174a5,Shreveport Man Indicted by Federal Grand Jury for Stalking and Threatening Speaker of the House of Representatives and Threatening President of the United States,FBI - National,2026-03-06,1,182.0,182,182
77f7176a44c60f,Venezuelan Nationals Charged with ‘Jackpotting’ Scheme to Steal Cash From Bank ATMs,FBI - National,2026-03-06,1,170.0,170,170
7803b6ecbdeb48,Columbia Woman Who Coerced Minor Boy to Engage in Sex Sentenced to 20 Years in Federal Prison,FBI - National,2026-03-12,1,171.0,171,171
783163e241b346,Prior Felon Arrested on Gun Charge,FBI - National,2026-04-20,1,173.0,173,173
78662fa4ed4b36,Quemado Man Pleads Guilty to Federal Firearm Offense,FBI - National,2026-04-13,1,161.0,161,161
7a8d73dbd55804,"Former Carlyle Police Chief Accused of Embezzling More Than $100,000",FBI - National,2026-03-04,1,160.0,160,160
7bd45c2f1fdde9,Dark Web Fentanyl Distributor Sentenced to 42 Months in Prison,FBI - National,2026-03-05,1,158.0,158,158
7be28c0eec3afe,"FBI, Colerain Police, and BCI Announce Safe Rescue of Missing Teen",FBI - National,2026-03-13,1,194.0,194,194
7c576e1678bc19,Fraudster Sentenced to Federal Prison for COVID-19 and Bankruptcy Schemes,FBI - National,2026-03-10,1,388.0,388,388
7c72fb173110d9,Evading Residential Proxy Networks: Protecting Your Devices from Becoming a Tool for Criminals,FBI - National,2026-03-12,1,202.0,202,202
7c97473f52c2bf,Man Sentenced to 10 Years for Carjacking a Cabdriver at Gunpoint,FBI - National,2026-04-10,1,165.0,165,165
7cd8e4539dce6b,Clayton Chiropractor Sentenced to 100 Months in Prison,FBI - National,2026-04-15,1,151.0,151,151
7cdb9b971588c7,"Cuban Man Sentenced for Cocaine Distribution Conspiracy, Possession with Intent to Distribute",FBI - National,2026-04-09,1,175.0,175,175
7d94742e60ef86,Four Houston Gang Members Guilty of Conspiracy to Commit Bank Robberies and Juggings,FBI - National,2026-03-09,1,186.0,186,186
7da8963a546170,High-Level Guatemalan Cocaine Trafficker Sentenced to 10 Years,FBI - National,2026-04-17,1,159.0,159,159
7e08c4f440ccfa,Boone County Man Sentenced for Distribution of Child Pornography,FBI - National,2026-03-13,1,158.0,158,158
7eb32075dd1ad8,Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across U.S. Critical Infrastructure,FBI - National,2026-04-07,1,599.0,599,599
7f53320eb0c7e5,Bangladeshi National Returned to the United States in International Sextortion Case,FBI - National,2026-03-05,1,160.0,160,160
8082257232271c,Federal Jury Finds Former San Diego County Sheriff’s Deputy Guilty in Fatal Shooting of Unarmed Fleeing Arrestee,FBI - National,2026-03-03,1,152.0,152,152
80ba9270e34312,Illegal Alien Sentenced to 13 Years in Prison for Child Pornography Offense and Illegal Reentry,FBI - National,2026-04-13,1,157.0,157,157
8123ace894a043,"Alleged Boss of Violent Sinaloa Cartel Indicted on Drug, Firearm, and Material Support of Terrorism Charges",FBI - National,2026-03-03,1,161.0,161,161
82a1f5c6c94382,"Detroit Man Sentenced to Five Years in Prison for Role in Interstate Drug Trafficking Operation Involving Large Quantities of Fentanyl, Heroin, and Cocaine",FBI - National,2026-04-07,1,165.0,165,165
835118fc8dbd3d,Alien Drug Trafficker from Colombia Sentenced to Five Years’ Imprisonment,FBI - National,2026-04-16,1,151.0,151,151
8405597a56738d,Hillsville Man to Serve 156 Months for Sexually Exploiting Children Online,FBI - National,2026-04-06,1,163.0,163,163
84db0feecfc0aa,Alleged Tren de Aragua Gang Members Charged in Connection with ATM Jackpotting Scheme,FBI - National,2026-03-03,1,182.0,182,182
84f426c15b6bdb,Texas Man Who Orchestrated $20 Million Cryptocurrency Scam Sentenced to 23 Years in Prison,FBI - National,2026-04-16,1,164.0,164,164
85794032dbe94e,"Illegal Alien from Mexico Indicted After Agents Seized Large Quantities of Narcotics, Including 22 Pounds of Fentanyl Powder",FBI - National,2026-03-12,1,162.0,162,162
8639c742214743,Muskegon Man Involved in Shooting Sentenced to 15 Years in Prison,FBI - National,2026-03-11,1,171.0,171,171
868764ac198440,Ghanaian National Pleads Guilty to Stealing More Than $10 Million Via Romance Scams,FBI - National,2026-03-05,1,155.0,155,155
86dd624755bf45,Two Men Sentenced for Kidnapping St. Louis County Toddler,FBI - National,2026-03-12,1,154.0,154,154
8814365b891c11,Justice Department Conducts Court-Authorized Disruption of DNS Hijacking Network Controlled by a Russian Military Intelligence Unit,FBI - National,2026-04-07,1,375.0,375,375
89c31049ed3127,FBI Houston Seeks ‘Coverall Crook’ for Multiple Bank Robberies,FBI - National,2026-03-05,1,169.0,169,169
8b49f7c627c2b1,"Tallahassee Man Charged for Threats to Kill the President, Member of Congress, and Federal Reserve Chairman",FBI - National,2026-03-12,1,184.0,184,184
8c00fbc17f00a4,Second Man Charged with Murder Relating to Methamphetamine Trafficking,FBI - National,2026-03-10,1,206.0,206,206
8d98175bd1cc0f,Career Offender Sentenced to 20 Years in Prison for Federal Drug and Firearms Charges,FBI - National,2026-04-09,1,167.0,167,167
8db2118d61ab72,Stafford Man Sentenced to Life in Prison for Child Sexual Abuse Crimes He Committed While on Supervised Release for Previous Convictions,FBI - National,2026-03-11,1,188.0,188,188
902ed8f7eab350,Retired Massachusetts State Police Sergeant Agrees to Plead Guilty to PPP Fraud,FBI - National,2026-04-10,1,173.0,173,173
91975edf206e83,Clearwater Man Sentenced to More Than Seven Years in Prison for Distributing and Possessing Child Sexual Abuse Material,FBI - National,2026-04-09,1,160.0,160,160
92673a426c4f1f,Ghanaian National Sentenced to Prison for Two Years for $1M Romance Scam,FBI - National,2026-03-06,1,195.0,195,195
9349e6b87111dc,Final Defendant in Large York County Drug Conspiracy Sentenced to 15 Years in Federal Prison,FBI - National,2026-03-12,1,162.0,162,162
939e76c02b1d53,"Columbus Man Pleads Guilty to Cyberstalking Exes, Creating AI-Generated Obscene Material of Adults and Children",FBI - National,2026-04-07,1,154.0,154,154
95068190ca5100,Border Enforcement Efforts Result in Another 354 People Charged in SDTX,FBI - National,2026-04-10,1,153.0,153,153
9536cfe0e6c19f,Former Manager of Lafayette Medical Clinic Pleads Guilty to Embezzling More Than $500k From Employer,FBI - National,2026-03-18,1,158.0,158,158
9637eaeb8bf443,New Hampshire Man Indicted for Cyberstalking and Child Sexual Exploitation,FBI - National,2026-04-14,1,160.0,160,160
9670e5440bfc4b,Illegal Alien From El Salvador Charged with Assault on a Federal Officer with a Deadly Weapon,FBI - National,2026-04-14,1,159.0,159,159
